ticker,fiscal_period,period_end_date,accession_no,segment,metric_name,metric_value,metric_unit,source_label
LEN,Q2 2024,2024-06-17,0001628280-24-028512,consolidated,gross_margin_pct,22.6,pct,https://www.sec.gov/Archives/edgar/data/920760/000162828024028512/ex991-2024531x8kq2.htm
NVR,Q1 2026,2026-04-22,0000906163-26-000034,consolidated,net_orders_units,5738.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616326000034/q12026ex991_earningsrelease.htm
NVR,Q1 2026,2026-04-22,0000906163-26-000034,consolidated,cancellation_rate_pct,14.0,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616326000034/q12026ex991_earningsrelease.htm
NVR,Q1 2026,2026-04-22,0000906163-26-000034,consolidated,backlog_units,10171.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616326000034/q12026ex991_earningsrelease.htm
NVR,Q1 2026,2026-04-22,0000906163-26-000034,consolidated,community_count,432.0,count,https://www.sec.gov/Archives/edgar/data/906163/000090616326000034/q12026ex991_earningsrelease.htm
NVR,Q1 2026,2026-04-22,0000906163-26-000034,consolidated,closings_units,4015.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616326000034/q12026ex991_earningsrelease.htm
NVR,Q1 2026,2026-04-22,0000906163-26-000034,consolidated,asp_dollars,457000.0,usd,https://www.sec.gov/Archives/edgar/data/906163/000090616326000034/q12026ex991_earningsrelease.htm
NVR,Q1 2026,2026-04-22,0000906163-26-000034,consolidated,gross_margin_pct,19.6,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616326000034/q12026ex991_earningsrelease.htm
NVR,Q4 2025,2026-01-28,0000906163-26-000004,consolidated,net_orders_units,4951.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616326000004/q42025ex991_earningsrelease.htm
NVR,Q4 2025,2026-01-28,0000906163-26-000004,consolidated,cancellation_rate_pct,16.6,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616326000004/q42025ex991_earningsrelease.htm
NVR,Q4 2025,2026-01-28,0000906163-26-000004,consolidated,backlog_units,8448.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616326000004/q42025ex991_earningsrelease.htm
NVR,Q4 2025,2026-01-28,0000906163-26-000004,consolidated,community_count,450.0,count,https://www.sec.gov/Archives/edgar/data/906163/000090616326000004/q42025ex991_earningsrelease.htm
NVR,Q4 2025,2026-01-28,0000906163-26-000004,consolidated,closings_units,5668.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616326000004/q42025ex991_earningsrelease.htm
NVR,Q4 2025,2026-01-28,0000906163-26-000004,consolidated,asp_dollars,464900.0,usd,https://www.sec.gov/Archives/edgar/data/906163/000090616326000004/q42025ex991_earningsrelease.htm
NVR,Q4 2025,2026-01-28,0000906163-26-000004,consolidated,gross_margin_pct,20.4,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616326000004/q42025ex991_earningsrelease.htm
NVR,Q3 2025,2025-10-22,0000906163-25-000115,consolidated,net_orders_units,4735.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000115/q32025ex991_earningsrelease.htm
NVR,Q3 2025,2025-10-22,0000906163-25-000115,consolidated,cancellation_rate_pct,19.4,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616325000115/q32025ex991_earningsrelease.htm
NVR,Q3 2025,2025-10-22,0000906163-25-000115,consolidated,backlog_units,9165.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000115/q32025ex991_earningsrelease.htm
NVR,Q3 2025,2025-10-22,0000906163-25-000115,consolidated,community_count,450.0,count,https://www.sec.gov/Archives/edgar/data/906163/000090616325000115/q32025ex991_earningsrelease.htm
NVR,Q3 2025,2025-10-22,0000906163-25-000115,consolidated,closings_units,5639.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000115/q32025ex991_earningsrelease.htm
